Wage,AFQT,Educ,Exper,Age,Meduc,Logwage
950,96,12,14,35,8,6.856462
797,90,16,11,33,14,6.680855
873,95,12,14,38,10,6.771935
1575,117,12,13,30,10,7.36201
654,121,17,12,34,11,6.483108
1748,123,17,10,36,12,7.466228
714,90,12,17,37,12,6.570883
1452,115,17,1,30,12,7.280697
2137,102,13,8,30,12,7.667158
1097,80,11,12,28,12,7.000334
866,111,14,16,35,12,6.763885
947,104,18,8,35,9,6.853299
513,104,16,8,33,12,6.240276
980,101,12,4,36,6,6.887553
577,92,15,8,28,10,6.357842
1250,91,12,13,34,11,7.130899
472,71,11,9,32,6,6.156979
866,121,16,7,28,12,6.763885
900,100,12,18,34,8,6.802395
690,119,12,9,28,8,6.536692
721,105,12,11,30,12,6.580639
812,115,16,11,34,12,6.699501
1442,113,16,8,35,8,7.273787
500,107,12,21,38,12,6.214608
952,99,13,10,31,8,6.858565
1748,125,18,12,34,14,7.466228
808,119,18,11,37,14,6.694562
1151,98,12,12,29,12,7.048387
872,115,15,7,29,12,6.77079
1000,96,16,9,31,12,6.907755
1250,117,14,7,28,12,7.130899
1122,102,17,7,32,12,7.022868
1201,98,11,17,36,11,7.09091
1572,108,14,7,28,12,7.360104
340,104,14,4,31,8,5.828946
1000,97,12,17,36,12,6.907755
670,117,12,10,30,12,6.507277
900,86,12,17,37,8,6.802395
1206,110,12,16,38,12,7.095064
714,125,16,7,28,10,6.570883
1010,104,11,15,38,9,6.917706
485,89,12,10,30,12,6.184149
827,105,16,7,30,16,6.717805
403,98,12,5,30,12,5.998937
621,84,12,14,31,8,6.431331
500,87,13,5,31,12,6.214608
1495,109,18,10,32,9,7.309882
1539,120,17,7,34,8,7.338888
1000,69,12,15,35,12,6.907755
950,98,11,13,31,12,6.856462
1500,101,13,13,32,12,7.313221
750,104,12,15,33,12,6.620073
850,113,12,7,28,8,6.745236
1602,111,16,10,31,16,7.379008
754,55,12,13,33,10,6.625392
700,99,12,15,32,10,6.55108
673,92,17,6,31,16,6.511745
855,89,12,6,31,3,6.751101
538,77,12,12,28,7,6.287858
1000,103,12,17,34,8,6.907755
1400,92,12,15,36,6,7.244227
923,107,16,9,33,9,6.827629
1081,123,18,11,36,12,6.985642
1682,126,16,10,31,12,7.427739
1746,131,18,9,33,12,7.465083
635,128,18,8,36,16,6.453625
318,67,12,16,36,7,5.762052
840,105,12,19,38,12,6.733402
894,104,18,7,35,9,6.795706
1076,106,12,19,36,12,6.981006
1924,121,18,11,35,16,7.562161
1602,110,15,14,37,14,7.379008
1710,114,18,7,32,12,7.444249
630,103,15,14,32,11,6.44572
692,92,15,9,38,8,6.539586
2067,106,16,12,33,14,7.633853
1000,95,12,16,36,12,6.907755
950,98,12,11,30,12,6.856462
350,109,12,14,36,9,5.857933
625,110,12,18,35,9,6.437752
1091,88,13,13,37,12,6.99485
462,112,12,11,29,12,6.135565
390,74,15,10,30,7,5.966147
1924,99,16,16,37,16,7.562161
666,129,18,8,38,18,6.50129
